MutationType	SP85623	SP85491	SP87582	SP89090	SP85511	SP85952	SP85840	SP87675	SP85836	SP120767	SP105708	SP85818	SP105922	SP86118	SP86306	SP87099	SP87434	SP85864	SP105807	SP89291	SP88050	SP88593	SP88158	SP87534	SP88776	SP85725	SP86660	SP87903	SP88098	SP85487	SP105759	SP86775	SP88322	SP85582	SP87446	SP87337	SP86929	SP86130	SP86425	SP85495	SP85787	SP86836	SP89245	SP86989	SP88757	SP85733	SP85737	SP85647	CPCT02011098T	WIDE01010618T	WIDE01010310T	CPCT02080230T	CPCT02010914T	DRUP01010057T	CPCT02010635T	WIDE01010556T	WIDE01010540T
[Del(C):R1]A	3	4	2	3	5	5	3	2	4	6	5	0	6	2	6	5	1	0	1	0	0	5	1	5	3	2	7	1	3	8	0	1	2	3	7	1	3	3	3	2	6	0	1	10	2	3	1	4	2	6	9	3	0	8	8	27	5
[Del(C):R1]T	0	3	2	2	2	0	5	3	5	5	2	0	0	4	2	5	4	0	0	1	0	3	2	7	3	2	7	3	4	4	2	1	1	2	4	1	4	3	2	0	3	0	1	2	1	2	0	1	1	10	8	3	4	6	2	32	12
[Del(C):R2]A	1	3	0	2	1	0	1	1	3	2	1	0	4	6	8	5	0	0	1	1	3	1	3	3	1	0	2	0	2	2	1	0	4	1	4	1	4	1	14	0	1	0	0	5	1	2	1	1	1	3	6	3	1	6	6	20	7
[Del(C):R2]T	3	4	2	1	1	1	2	2	7	5	5	0	2	3	5	4	2	0	3	4	2	2	1	3	2	2	4	1	3	5	0	0	4	0	6	0	6	0	3	0	0	0	0	3	1	6	0	3	1	10	3	4	1	6	6	22	7
[Del(C):R3]A	0	3	0	2	1	1	3	1	2	2	0	0	0	2	5	0	2	1	2	0	0	0	0	0	4	1	0	2	3	2	1	0	0	1	4	0	3	2	7	0	1	0	0	1	0	2	0	1	0	2	1	1	0	10	9	14	3
[Del(C):R3]T	1	1	1	2	2	1	0	0	0	0	3	0	2	1	1	0	1	0	4	0	0	0	0	1	1	0	4	1	3	3	1	0	2	0	2	0	2	2	1	0	0	0	0	2	0	1	0	2	1	2	2	1	2	5	5	8	2
[Del(C):R(4,5)]A	0	0	1	0	3	2	0	0	0	1	0	0	0	0	1	5	0	0	0	1	0	1	0	2	2	0	3	0	0	1	1	0	1	0	5	2	4	0	4	0	0	0	0	0	0	0	0	0	1	2	3	2	0	1	2	12	3
[Del(C):R(4,5)]T	0	0	1	2	2	1	0	1	0	0	2	0	0	1	0	0	1	0	1	0	1	0	1	2	1	0	1	0	0	2	0	0	1	0	2	0	2	0	1	0	0	0	0	0	1	0	0	0	0	2	0	3	0	2	3	4	5
[Del(C):R(1,5)]G	1	0	0	2	3	1	0	0	2	1	0	0	2	1	3	0	1	1	1	0	1	2	0	1	1	0	1	0	1	1	3	0	1	0	1	1	2	1	0	1	0	0	0	4	0	2	0	2	1	3	4	4	1	4	3	10	4
Del(C):R(6,9)	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	2	0	0	3	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	6	10	4	0	8	6	40	2
